acteurs,description,duree,genre,langue_origine,pays,public,score,titre,titre_original,year
"Gülse Birsel,Levent Üzümcü,Senay Gürler,Hale Caneroglu,Veysel Diker,Yildirim Öcek,Yavuz Seçkin,Gazanfer Özcan,Hümeyra,Vural Çelik,Engin Günaydin,Rutkay Aziz,Suna Keskin,Ata Demirer,Hasibe Eren,Sarp Apak,Evrim Akin,Bülent Polat",The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,60,Comedy,Turkish,Turkey,,8.6,Avrupa Yakasi,Avrupa Yakasi,2004
"Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Luca Gallone,Francesco Serpico,Giovanni Amura,Giovanni Buselli,Eduardo Scarpetta,Elvis Esposito,Valentina Acca,Antonio Buonanno,Rosaria Langellotto,Gennaro De Stefano,Fabrizio Cottone,Pina Di Gennaro,Riccardo Palmieri",A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,60,Drama,Italian,Italy,TV-MA,8.6,My Brilliant Friend,My Brilliant Friend,2018
"Massimo Bottura,Ruth Reichl,Francis Mallmann,Bill Buford,Dan Barber,Lara Gilmore,Niki Nakayama,Magnus Nilsson,Ben Shewry,David Chang,Dominique Crenn,Grant Achatz,Daniel Humm,Enrique Olvera,Garima Arora,Colman Andrews,Alec Lobrano,Alex Atala","Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",50,"Documentary,Biography",English,United States,TV-MA,8.5,Chef's Table,Chef's Table,2015
"Kate Atkinson,Katrina Milosevic,Robbie Magasiva,Jacquie Brennan,Celia Ireland,Pamela Rabe,Kate Jenkinson,Lucia Brancatisano,Lauri McLennan,Bernard Curry,Nicole da Silva,Shareena Clanton,Eloise Wright,Danielle Cormack,Tammy Macintosh,Rarriwuy Hick,Katherine Grinlaw,Susie Porter",The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,45,"Crime,Drama,Thriller",English,Australia,TV-MA,8.6,Wentworth,Wentworth,2013
"Serban Pavlu,Maria Obretin,Andreea Vasile,Madalina Craiu,Gabriel Huian,Sergiu Costache,Doru Ana,Dan Hurduc,Stefan Velniciuc,Laurentiu Bãnescu,Sorin Cocis,Mihai Calin,Vitalie Bantas,Dorel Visan,Costel Cascaval,Augustin Viziru,Silvana Mihai,Ion Grosu","Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.",45,"Crime,Drama,Thriller",Romanian,Romania,TV-MA,8.7,Umbre,Umbre,2014
"Steven Strait,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo,Cas Anvar,Frankie Adams,Cara Gee,Shawn Doyle,Thomas Jane,Florence Faivre,Nadine Nicole,Chad L. Coleman,Anna Hopkins,Keon Alexander,Jasai Chase-Owens,Andrew Rotilio,Nick E. Tarabay,David Strathairn","The disappearance of rich-girl-turned-political-activist links the lives of Ceres detective, accidental ship captain and U.N. politician. Amidst political tension between Earth, Mars and the Belt, they unravel the greatest conspiracy.",60,"Drama,Mystery,Sci-Fi",English,United States,TV-14,8.5,The Expanse,The Expanse,2015
"Nathan Fielder,Journey Baker,Anna Lamadrid,Sawyer J. Bell,Lennon O'Flynn,James O'Neill,Alexander Leiss,Remy Taylor,Joshua James Benard,Liam Risinger,Jennifer Khoe,Thomas McNamara,Gigi Burgdorf,Isaac Lamb,Charlie Cherman,K. Todd Freeman,Vincent Cefalu,Ulla Feldman",Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,30,"Documentary,Comedy",English,United States,TV-MA,8.5,The Rehearsal,The Rehearsal,2022
"Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,Scott Thompson,Aaron Abrams,Gillian Anderson,Hettienne Park,Kacey Rohl,Lara Jean Chorostecki,Raúl Esparza,Vladimir Jon Cubrt,Katharine Isabelle,Kalen Davidson,Eddie Izzard,Richard Armitage,Gina Torres,Rutina Wesley",Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,0,"Crime,Drama,Horror",English,United States,TV-MA,8.5,Hannibal,Hannibal,2013
"Mayo Suzukaze,Junko Iwao,Nozomu Sasaki,Masami Suzuki,Shûichi Ikeda,Tomokazu Seki,Wataru Takagi,Ryûsei Nakao,Hirotaka Suzuoki,Akari Hibino,Minoru Uchida,Tetsuya Iwanaga,Satoshi Tsuruoka,Mitsuaki Hoshino,Hiromi Setsu,Rikiya Koyama,Hiroshi Takahashi,Hiroshi Shimozaki","In the era of Japan's Meiji Restoration, an assassin regains his humanity.",118,"Animation,Action,Adventure",Japanese,Japan,TV-MA,8.6,Rurouni Kenshin: Trust and Betrayal,Rurouni Kenshin: Trust and Betrayal,1999
"Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandiwe Newton,Tessa Thompson,James Marsden,Luke Hemsworth,Angela Sarafyan,Anthony Hopkins,Aaron Paul,Simon Quarterman,Rodrigo Santoro,Shannon Woodward,Jimmi Simpson,Talulah Riley,Ptolemy Slocum,Leonardo Nam,Ingrid Bolsø Berdal","At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",62,"Drama,Mystery,Sci-Fi",English,United States,TV-MA,8.5,Westworld,Westworld,2016
"Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill,Kathy Kiera Clarke,Tommy Tiernan,Ian McElhinney,Nicola Coughlan,Jamie-Lee O'Donnell,Dylan Llewellyn,Siobhán McSweeney,Leah O'Rourke,Beccy Henderson,Amelia Crowley,Claire Rafferty,Philippa Dunne,Donna Traynor,Kevin McAleer,Paul Mallon",The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,30,Comedy,English,United Kingdom,TV-MA,8.5,Derry Girls,Derry Girls,2018
"Tom Hanks,Nick Searcy,Lane Smith,David Andrews,Daniel Hugh Kelly,Stephen Root,David Clyde Carr,Tim Daly,Steve Hofvendahl,Conor O'Farrell,Brett Cullen,Cary Elwes,Ben Marley,Mike Pniewski,Holmes Osborne,Tom Verica,John Posey,Rita Wilson",Dramatized portrayal of the Apollo manned space program.,60,"Action,Drama,History",English,United States,TV-14,8.6,From the Earth to the Moon,From the Earth to the Moon,1998
"Park Eun-bin,Kang Tae-oh,Kang Ki-young,Jeon Bae-soo,Ren Hanami,Tom Choi,Ha Yoon-kyung,Halley Kim,Eugene Young,Joo Jong-hyuk,Nick Martineau,Jin Kyung,Jennifer Sun Bell,Joo Hyun-young,Baek Ji-won,Im Sung-jae,Anzu Lawson,June Yoon","Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.",75,Drama,Korean,South Korea,TV-14,8.6,Extraordinary Attorney Woo,Extraordinary Attorney Woo,2022
"Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,Phil LaMarr,Maurice LaMarche,Lauren Tom,David Herman,Frank Welker,Kath Soucie,Dawnn Lewis,Tom Kenny,Dan Castellaneta,Al Gore,George Takei,Nicole St. John,Phil Hendrie,Coolio","Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",22,"Animation,Adventure,Comedy",English,United States,TV-14,8.5,Futurama,Futurama,1999
"Vic Mignogna,Aaron Dismuke,Romi Park,Rie Kugimiya,Travis Willingham,Tôru Ohkawa,Colleen Clinkenbeard,Caitlin Glass,Christopher Sabat,Kenji Utsumi,Megumi Toyoguchi,Michiko Neya,Laura Bailey,Yûko Satô,Mike McFarland,Ed Blaylock,Yasunori Matsumoto,Chris Cason","When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.",24,"Animation,Action,Adventure",Japanese,Japan,TV-PG,8.5,Fullmetal Alchemist,Fullmetal Alchemist,2003
"Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,Kumail Nanjiani,Amanda Crew,Zach Woods,Matt Ross,Jimmy O. Yang,Suzanne Cryer,Chris Diamantopoulos,Chris Williams,Stephen Tobolowsky,Rogelio T. Ramos,Scott Prendergast,Aly Mawji,Jill E. Alexander,Bernard White","Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",28,Comedy,English,United States,TV-MA,8.5,Silicon Valley,Silicon Valley,2014
"Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,David Tennant,Nicholas Briggs,Jon Davey,Jenna Coleman,Paul Kasey,Karen Gillan,Billie Piper,Mandip Gill,Simon Carew,Arthur Darvill,Bradley Walsh,Tosin Cole,Barnaby Edwards,Ruari Mears",The further adventures in time and space of the alien adventurer known as the Doctor and his companions from planet Earth.,45,"Adventure,Drama,Sci-Fi",English,United Kingdom,TV-PG,8.6,Doctor Who,Doctor Who,2005
"Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,Chris Elliott,Emily Hampshire,Jennifer Robertson,Sarah Levy,Karen Robinson,Dustin Milligan,Noah Reid,John Hemphill,Tim Rozon,Marilyn Bellfontaine,Mary Kelly,Jennifer Foster,Lili Connor,Rizwan Manji","After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",22,Comedy,English,Canada,TV-14,8.5,Schitt's Creek,Schitt's Creek,2015
"John Hannah,Manu Bennett,Peter Mensah,Dustin Clare,Nick E. Tarabay,Lucy Lawless,Craig Walsh-Wrightson,Lesley-Ann Brandt,Antonio Te Maioha,Stephen Lovatt,Shane Rangi,Jessica Grace Smith,Raicho Vasilev,Ioane King,Marisa Ramirez,Gareth Williams,Jeffrey Thomas,Jaime Murray","In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",331,"Action,Adventure,Biography",English,United States,TV-MA,8.5,Spartacus: Gods of the Arena,Spartacus: Gods of the Arena,2011
"J.G. Quintel,William Salyers,Sam Marin,Mark Hamill,Roger Craig Smith,Minty Lewis,Janie Haddad Tompkins,Courtenay Taylor,Steve Blum,Fred Tatasciore,John Cygan,Ali Hillis,Linda Cardellini,Jeff Bennett,David Kaye,Robin Atkin Downes,David Ogden Stiers,Troy Baker",The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,23,"Animation,Action,Adventure",English,United States,TV-PG,8.5,Regular Show,Regular Show,2010
"Christopher Morris,Mark Heap,Kevin Eldon,Doon Mackichan,David Cann,Barbara Durkin,Amelia Bullmore,Albert Welling,Gina McKee,Claire Skinner,Bill Moody,Frazer Brown,Peter Baynham,Bill Bailey,Bill Cashmore,Paul Garner,Sinead Griffin-Lennon,Simon Kunz","Controversial spoof of current affairs television, and the role of celebrity in the UK.",25,Comedy,English,United Kingdom,TV-MA,8.6,Brass Eye,Brass Eye,1997
"John Paul Tremblay,Robb Wells,Mike Smith,John Dunsworth,Patrick Roach,Sarah Dunsworth,Jeanna Harrison,Tyrone Parsons,Cory Bowles,Shelley Thompson,Lucy Decoutere,Jonathan Torrens,Jacob Rolfe,Barrie Dunn,Michael Jackson,George Green,Leigh MacInnis,Garry James",Three petty felons have a documentary made about their life in a trailer park.,30,"Comedy,Crime",English,Canada,TV-MA,8.5,Trailer Park Boys,Trailer Park Boys,2001
"Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch,Lisa Teige,Tarjei Sandvik Moe,Ina Svenningdal,Marlon Valdés Langeland,Herman Tømmeraas,Thomas Hayes,Carl Martin Eggesbø,Kristina Ødegaard,Cecilie Martinsen,David Stakston,Henrik Holm,Rakel Øfsti Nesje,Sacha Kleber Nyiligira,Cengiz Al,Simo Mohamed Elhbabi","The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",30,"Drama,Romance",Norwegian,Norway,Not Rated,8.6,Skam,Skam,2015
"Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith,Sinéad Cusack,Brendan Coyle,Pauline Quirke,Jo Joyner,Kay Lyon,Lesley Manville,Anna Maxwell Martin,Emma Owen,Jane Booker,Tom Charnock,William Houston,John Light,Brian Protheroe,Will Tacey,Lucy Brown","North and South is a four-part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle-class southerner who is forced to move to the northern town of Milton.",235,"Drama,Romance",English,United Kingdom,TV-PG,8.6,North & South,North & South,2004
"Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,Shanola Hampton,Steve Howey,Emma Kenney,Cameron Monaghan,Michael Patrick McGill,Jim Hoffmaster,Noel Fisher,Isidora Goreshter,Christian Isaiah,Brenden Sims,Joan Cusack,Justin Chatwin,Scott Michael Campbell,Kate Miner","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46,"Comedy,Drama",English,United States,TV-MA,8.5,Shameless,Shameless,2011
"Jared Keeso,Nathan Dales,Michelle Mylett,K. Trevor Wilson,Dylan Playfair,Andrew Herr,Tyler Johnston,Evan Stern,Lisa Codrington,Kamilla Kowal,Jacob Tierney,Patrick McNeil,Dan Petronijevic,Mark Forward,Clark Backo,Jay Bertin,Kaniehtiio Horn,Joel Gagne","Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",30,Comedy,English,Canada,TV-MA,8.6,Letterkenny,Letterkenny,2016
"Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,Miguel Ferrer,David Lynch,Robert Forster,Kimmy Robertson,Naomi Watts,Laura Dern,Pierce Gagnon,Harry Goaz,Al Strobel,John Pirruccello,Don Murray,Mädchen Amick,Dana Ashbrook,Brent Briscoe",Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,0,"Crime,Drama,Horror",English,United States,TV-MA,8.5,Twin Peaks,Twin Peaks,2017
"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,Allison Keith-Shipp,Sue Ulu,Amanda Winn Lee,Tristan MacAvery,Tiffany Grant,Guil Lunde,Matt Greenfield,Kendra Benham,Jason Lee,Casey Mongillo,Carrie Keranen,Erica Lindbeck,Ryan Bartley,Pedro de Aguillón",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,24,"Animation,Action,Drama",English,Japan,TV-MA,8.5,Neon Genesis Evangelion,Neon Genesis Evangelion,1995
"Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,Tommy Flanagan,Theo Rossi,Dayton Callie,Maggie Siff,Ron Perlman,David Labrava,Ryan Hurst,William Lucking,Michael Ornstein,Winter Ave Zoli,Jimmy Smits,Niko Nicotera,Chris Reed,Drea de Matteo",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,"Crime,Drama,Thriller",English,United States,TV-MA,8.6,Sons of Anarchy,Sons of Anarchy,2008
"Morgan Freeman,Sean Carroll,Michio Kaku,Kip Thorne,Carlos Frenk,Max Tegmark,Paul Davies,Lee Smolin,Janna Levin,Frank Tipler,Frank Close,Paul Steinhardt,Michael Persinger,Andy Albrecht,Will Wright,David Spergel,Alan Guth,Steve Nahn","Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pond...",60,Documentary,English,United States,TV-PG,8.6,Through the Wormhole,Through the Wormhole,2010
"Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,Ewen MacIntosh,Ben Bradshaw,Jamie Deeks,Jane Lucas,Emma Manton,Alexander Perkins,Philip Pickard,Joel Beckett,Patrick Baladi,Julie Fernandez,Rachel Isaac,Howard Saddler,Ralph Ineson,Stirling Gallacher",The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,0,"Comedy,Drama",English,United Kingdom,TV-MA,8.5,The Office,The Office,2001
