acteurs,description,duree,genre,langue_origine,pays,public,score,titre,titre_original,year
"Rowan Atkinson,Matilda Ziegler,Robin Driscoll,Matthew Ashforde,Roger Sloman,Susie McKenna,Nick Hancock,C.J. Allen,Rupert Vansittart,Howard Goodall,Hugo Mendez,Christopher Driscoll,Rupert Bates,Paul Bown,Dave O'Higgins,Angus Deayton,Richard Wilson,Michael Fenton Stevens","Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",25,"Comedy,Family",English,United Kingdom,Not Rated,8.6,Mr. Bean,Mr. Bean,1990
"Joel Hodgson,Michael J. Nelson,Trace Beaulieu,Kevin Murphy,Jim Mallon,Frank Conniff,Mary Jo Pehl,Bill Corbett,Patrick Brantseg,Alexandra Carr,Paul Chaplin,J. Elvis Weinstein,Bridget Jones,Beez McKeever,Peter Rudrud,Bradley J. Keely,Nathan Molstead,Timothy Scott","In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",92,"Comedy,Sci-Fi",English,United States,TV-14,8.6,Mystery Science Theater 3000,Mystery Science Theater 3000,1988
"Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore,Angel Bismark,Billy Porter,Hailie Sahar,Dyllon Burnside,Jason A. Rodriguez,Ryan Jamaal Swain,Jeremy McClain,Angelica Ross,Sandra Bernhard,Alexia Garcia,Jiggly Caliente,Jack Mizrahi,Leiomy Maldonado,Evan Peters,Charlayne Woodard","In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",60,Drama,English,United States,TV-MA,8.6,Pose,Pose,2018
"Salvatore Esposito,Marco D'Amore,Ivana Lotito,Cristiana Dell'Anna,Alessandro Palladino,Fortunato Cerlino,Arturo Muselli,Roberto Oliveri,Brian Flaccus,Fabio De Caro,Cristina Donadio,Christian Giroso,Giovanni Buselli,Vincenzo Fabricino,Riccardo Ciccarelli,Carmine Monaco,Lino Musella,Gianni Spezzano",Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,55,"Crime,Drama,Thriller",Italian,Italy,TV-MA,8.6,Gomorrah,Gomorrah,2014
"Hyun Bin,Son Ye-jin,Seo Ji-hye,Kim Jung-hyun,Yang Kyung-won,Yoo Su-bin,Lee Sin-young,Tang Joon-sang,Kim Sun-young,Kim Jung-nan,Jang So-yeon,Cha Cheong-hwa,Oh Man-seok,Go Gyu-pil,Park Hyoung-soo,Park Myeong-hoon,Kim Young-min,Hwang Woo-seul-hye",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,70,"Adventure,Comedy,Romance",Korean,South Korea,TV-14,8.7,Crash Landing on You,Crash Landing on You,2019
"Rowan Atkinson,Tony Robinson,Hugh Laurie,Helen Atkinson Wood,Robbie Coltrane,Hugh Paddick,Miranda Richardson,Stephen Fry,Tim McInnerny,Kenneth Connor,Vincent Hanna,Warren Clarke,Nigel Planer,Denis Lill,Lee Cornes,Gertan Klauber,Chris Barrie,Ben Elton","In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",180,Comedy,English,United Kingdom,TV-PG,8.6,Blackadder the Third,Blackadder the Third,1987
"Scott Ryan,Chika Yasumura,Justin Rosniak,Damon Herriman,Brooke Satchwell,Nicholas Cassim,Natalie Tran,Matt Nable,Lizzie Schebesta,Jed,Jeremy Sims,Kenny Graham,Eddie Baroo,Josh McConville,Kieran Darcy-Smith,David Michôd,Scott Harrison,Rose Riley","Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",30,"Crime,Drama",English,Australia,TV-MA,8.6,Mr Inbetween,Mr Inbetween,2018
"Jeremy Brett,Edward Hardwicke,Rosalie Williams,Colin Jeavons,Denis Lill,Harry Andrews,Eric Sykes,Alan Howard,Clive Francis,Eric Porter,James Hazeldine,Paul Williamson,Freddie Jones,Charles Gray,Denis Quilley,Peter Barkworth,Patricia Hodge,Eleanor David","Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",0,"Crime,Drama,Mystery",English,United Kingdom,TV-PG,8.7,The Return of Sherlock Holmes,The Return of Sherlock Holmes,1986
"Miles Teller,Matthew Goode,Dan Fogler,Burn Gorman,Colin Hanks,Giovanni Ribisi,Juno Temple,Jake Cannavale,Lou Ferrigno,Josh Zuckerman,Anthony Ippolito,Meredith Garretson,Patrick Gallo,Joseph Russo,Anthony Skordi,Eric Balfour,Paul McCrane,Annie Funke",Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,0,"Biography,Drama",English,United States,TV-MA,8.6,The Offer,The Offer,2022
"Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino,Miyu Irino,Kôki Uchiyama,Sôma Saitô,Nobuhiko Okamoto,Yoshimasa Hosoya,Hiroshi Kamiya,Toshiki Masuda,Adam Gibbs,Bryson Baugus,Gabriel Regojo,Scott Gibbs,Greg Cote,Justin Doran,Blake Shepard","Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",24,"Animation,Comedy,Drama",Japanese,Japan,TV-14,8.7,Haikyu!!,Haikyu!!,2014
"Jonathan Groff,Holt McCallany,Anna Torv,Hannah Gross,Sonny Valicenti,Stacey Roca,Joe Tuttle,Zachary Scott Ross,Cotter Smith,Albert Jones,Lauren Glazier,Michael Cerveris,Dohn Norwood,Gareth Williams,June Carryl,Cameron Britton,Nate Corddry,Sierra Aylina McClain","In the late 1970s, two FBI agents broaden the realm of criminal science by investigating the psychology behind murder and end up getting too close to real-life monsters.",60,"Crime,Drama,Mystery",English,United States,TV-MA,8.6,Mindhunter,Mindhunter,2017
"David Suchet,Hugh Fraser,Philip Jackson,Pauline Moran,David Yelland,Zoë Wanamaker,Richard Bebb,George Little,Phillip Manikum,Jona Jones,Patrick Ryecart,Nicholas Farrell,Barbara Barnes,John Carson,Richard Hope,Richard Durden,Sean Pertwee,Beatie Edney","Hercule Poirot, a famous Belgian detective, who has an impeccable knack for getting embroiled in a mystery, solves crimes along with Captain Hastings and Scotland Yard Chief Inspector James Japp.",100,"Crime,Drama,Mystery",English,United Kingdom,TV-14,8.6,Poirot,Poirot,1989
"Vishesh Bansal,Mona Singh,Prasad Reddy,Akarsh Khurana,Ahan Nirban,Ruhi Khan,Hetal Gada,Anngad Raaj,Rajesh Kumar,Juhi Parmar,Veena Mehta,Revathi Pillai,Nishkarsh Dixit,Jinal Jain,Brij Bhushan Shukla,Mukesh Bitra,Pravin Waghmare,Subodh Gulati",Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,30,"Comedy,Drama,Family",Hindi,India,TV-14,9.0,Yeh Meri Family,Yeh Meri Family,2018
"Robert Duvall,Tommy Lee Jones,Danny Glover,Diane Lane,Robert Urich,Frederic Forrest,D.B. Sweeney,Ricky Schroder,Anjelica Huston,Chris Cooper,Timothy Scott,Glenne Headly,Barry Corbin,William Sanderson,Barry Tubb,Gavan O'Herlihy,Steve Buscemi,Frederick Coffin",Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,384,"Adventure,Drama,Western",English,United States,TV-14,8.7,Lonesome Dove,Lonesome Dove,1989
"Sofia Helin,Rafael Pettersson,Sarah Boberg,Candice van Litsenborgh,Dag Malmberg,Kim Bodnia,Puk Scharbau,Thure Lindhardt,Lars Simonsen,Gabriel Flores Jair,Henrik Lundström,Maria Kulle,Julie Carlsen,Emil Birk Hartmann,Anette Lindbäck,Said William Legue,Kristina Brändén Whitaker,Lotte Munk","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",60,"Crime,Mystery,Thriller",Swedish,Sweden,TV-MA,8.6,The Bridge,The Bridge,2011
"John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walch,Niki Yang,Pendleton Ward,Dee Bradley Baker,Maria Bamford,Steve Little,Olivia Olson,Kent Osborne,Cole Sanchez,Polly Lou Livingston,Jessica DiCicco,Andy Milonakis,Jackie Buscarino,Tom Herpich,Justin Roiland","A 12-year-old boy and his best friend, a wise 28-year-old dog with magical powers, go on a series of surreal adventures in a remote future.",11,"Animation,Action,Adventure",English,United States,TV-PG,8.6,Adventure Time,Adventure Time,2010
"Rowan Atkinson,Tony Robinson,Tim McInnerny,Miranda Richardson,Stephen Fry,Patsy Byrne,Tony Aitken,Hugh Laurie,Tom Baker,Miriam Margolyes,Ronald Lacey,Gabrielle Glaister,Holly de Jong,Rik Mayall,Simon Jones,Cassie Stuart,Bill Wallis,Max Harvey","In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",176,Comedy,English,United Kingdom,TV-PG,8.6,Blackadder II,Blackadder II,1986
"Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson,Royce Johnson,Geoffrey Cantor,Jay Ali,Jon Bernthal,Stephen Rider,Wilson Bethel,Ayelet Zurer,Peter McRobbie,Amy Rutberg,Elodie Yung,Toby Leonard Moore,Joanne Whalley,Vondie Curtis-Hall,Bob Gunton","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",54,"Action,Crime,Drama",English,United States,TV-MA,8.6,Daredevil,Daredevil,2015
"Olly Alexander,Nathaniel Curtis,Shaun Dooley,Omari Douglas,Lydia West,Keeley Hawes,Neil Ashton,Callum Scott Howells,Toto Bruin,David Carlyle,Tracy-Ann Oberman,Delroy Brown,Shaniqua Okwok,Michelle Greenidge,Andria Doherty,Paul Candelent,Stephen Fry,Ken Christiansen",The lives of a group of friends living in 1980s London are irreparably changed by the AIDS crisis.,0,"Comedy,Drama,History",English,United Kingdom,TV-MA,8.7,It's a Sin,It's a Sin,2021
"Aaron LaPlante,Laëtitia Eïdo,Fred Tatasciore,Imari Williams,Amina Koroma,Hillary Hawkins,Tom Kenny,Jon Olson,Amanda Troop,Adam Fergus,Jacob Dudman,MyAnna Buring,Giles Matthey,Dave Fennoy,Ike Amadi,Darin De Paul,Noah Kaye Bentley,Jeremy Crutchley",A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,22,"Animation,Action,Adventure",English,United States,TV-MA,8.7,Primal,Primal,2019
"Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch,Yukana,Ami Koshimizu,Yuri Lowenthal,Kate Higgins,Karen Strassman,Brian Beacock,Noriaki Sugiyama,Tetsu Shiratori,Akeno Watanabe,Liam O'Brien,Sayaka Ôhara,Kikuko Inoue,Mitsuaki Madono,Kirk Thornton,Deborah Sale Butler","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",24,"Animation,Action,Drama",Japanese,Japan,TV-14,8.7,Code Geass,Code Geass,2006
"Matthew Mercer,Liam O'Brien,Marisha Ray,Sam Riegel,Laura Bailey,Taliesin Jaffe,Travis Willingham,Ashley Johnson,Zachary K. Eubank,Orion Acaba,Robbie Daymond,Brian W. Foster,Mary Elizabeth McGlynn,Aabria Iyengar,Erika Ishii,Ashly Burch,Christian Navarro,Will Friedle","A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",180,"Adventure,Fantasy",English,United States,TV-14,9.2,Critical Role,Critical Role,2015
"Timothy Olyphant,Ian McShane,Molly Parker,Brad Dourif,W. Earl Brown,John Hawkes,Paula Malcomson,Dayton Callie,Leon Rippy,William Sanderson,Robin Weigert,Sean Bridgers,Bree Seanna Wall,Jim Beaver,Jeffrey Jones,Kim Dickens,Powers Boothe,Titus Welliver","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",55,"Crime,Drama,History",English,United States,TV-MA,8.6,Deadwood,Deadwood,2004
"Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,C.S. Lee,Luna Lauren Velez,Desmond Harrington,Julie Benz,Christina Robinson,Geoff Pierson,Preston Bailey,Aimee Garcia,Luke Andrew Kruntchev,Erik King,Evan George Kruntchev,Jimmy Star,Dana L. Wilson,Yvonne Strahovski","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.",55,"Crime,Drama,Mystery",English,United States,TV-MA,8.7,Dexter,Dexter,2006
"Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith,Tobias Menzies,Dominic West,Charles Edwards,Jonathan Pryce,Vanessa Kirby,Marion Bailey,Victoria Hamilton,Helena Bonham Carter,Lesley Manville,Pip Torrens,Sam Phillips,Claudia Harrison,Marcia Warren,Elizabeth Debicki",Follows the political rivalries and romances of Queen Elizabeth II's reign and the events that shaped Britain for the second half of the 20th century.,58,"Biography,Drama,History",English,United Kingdom,TV-MA,8.6,The Crown,The Crown,2016
"David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis,Robert Patrick,Tom Braidwood,Bruce Harwood,Dean Haglund,Annabeth Gish,Nicholas Lea,James Pickens Jr.,Sheila Larken,Chris Owens,Don S. Williams,Steven Williams,Jerry Hardin,Laurie Holden,Rebecca Toolan","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",45,"Crime,Drama,Mystery",English,United States,TV-14,8.6,The X-Files,The X-Files,1993
"Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,Aubrey Plaza,Aziz Ansari,Retta,Rashida Jones,Adam Scott,Rob Lowe,Jay Jackson,Paul Schneider,Ben Schwartz,Mo Collins,Yvans Jourdain,Jon Glaser,Billy Eichner,James Greene",The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,22,Comedy,English,United States,TV-14,8.6,Parks and Recreation,Parks and Recreation,2009
"Donald Glover,Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,Khris Davis,RJ Walker,Harold House Moore,Matthew Barnes,Myra Lucretia Taylor,Tobias Segal,Austin Elle Fisher,Katt Williams,Adriyan Rae,Isiah Whitlock Jr.,Cranston Johnson,Griffin Freeman,Hugh Coles,Derrick J. Haywood","Earn and his cousin, Alfred, try to make their way in the world through Atlanta's rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status and parenthood.",30,"Comedy,Drama,Music",English,United States,TV-MA,8.6,Atlanta,Atlanta,2016
"Dermot Morgan,Ardal O'Hanlon,Frank Kelly,Pauline McLynn,Tony Guilfoyle,Patrick Drury,Rynagh O'Grady,Maurice O'Donoghue,Arthur Mathews,Don Wycherley,Pat Shortt,Jim Norton,Graham Norton,Don Foley,Paul Woodfull,Joe Taylor,Tom Farrelly,Rosemary Henderson","Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",25,Comedy,English,United Kingdom,TV-14,8.7,Father Ted,Father Ted,1995
"Arun Govil,Deepika Chikhalia,Sunil Lahri,Arvind Trivedi,Dara Singh Randhawa,Sanjay Jog,Sameer Rajda,Shyamsundar Kalani,Vijay Arora,Bal Dhuri,Jayshree Gadkar,Padma Khanna,Rajni Bala,Mukesh Rawal,Nalin Dave,Aparajita,Lalita Pawar,Renu Dhariwal","An adaptation of the ancient epic in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",30,"Adventure,Drama,Family",Hindi,India,TV-14,9.0,Ramayan,Ramayan,1987
"Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz,Justin Hartley,Susan Kelechi Watson,Chris Sullivan,Eris Baker,Faithe Herman,Jon Huertas,Hannah Zeile,Niles Fitch,Logan Shroyer,Mackenzie Hancsicsak,Parker Bates,Lyric Ross,Lonnie Chavis,Caitlin Thompson","A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",45,"Comedy,Drama,Romance",English,United States,TV-14,8.7,This Is Us,This Is Us,2016
"Andrew Jarecki,Robert Durst,J. Patrick Burns,Gary Napoli,Jeanine Pirro,Dick DeGuerin,Debra Kay Anderson,Kevin J. Hynes,Michael Simon Hall,Chelsea Gonzalez,Marc Smerling,Susan Berman,Alexander Norton,Jeszenia Jimenez,Cody Cazalas,Gilberte Najamy,Sareb Kaufman,Ellen Strauss","Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",279,"Documentary,Biography,Crime",English,United States,TV-14,8.6,The Jinx: The Life and Deaths of Robert Durst,The Jinx: The Life and Deaths of Robert Durst,2015
"John Wilson,Kyle MacLachlan,Justin A. Martell,Niko Nelson,Cynthia Larson,Yanjaa Wintersoul,Liz Schack,Ron Low,Gabrielle Merken,John Pizzi,Brad Neilley,Jack Owoc,Mariska Hargitay,Christopher Meloni,Maggie Gyllenhaal,Elon Musk,Martha Stewart,Michael Bloomberg",An anxious New Yorker attempts to give everyday advice while dealing with his own personal issues.,30,"Documentary,Comedy",English,United States,TV-MA,8.7,How to with John Wilson,How to with John Wilson,2020
"Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,Michael Kelly,Justin Doescher,Derek Cecil,Jayne Atkinson,Nathan Darrow,Mahershala Ali,Boris McGiver,Paul Sparks,Molly Parker,Neve Campbell,Jeremy Holm,Marla Aaron Wapner,Nini Le Huynh,Gregory Divers",A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,0,Drama,English,United States,TV-MA,8.6,House of Cards,House of Cards,2013
"Chris Addison,James Smith,Peter Capaldi,Joanna Scanlan,Rebecca Front,Roger Allam,Will Smith,Olivia Poulet,Vincent Franklin,Ben Willbond,Polly Kemp,Lucinda Raikes,Chris Langham,Justin Edwards,Tony Gardner,Samantha Harrington,Geoffrey Streatfeild,Alex Macqueen",The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,29,Comedy,English,United Kingdom,TV-MA,8.7,The Thick of It,The Thick of It,2005
"Hidenobu Kiuchi,Liam O'Brien,Mamiko Noto,Karen Strassman,Nozomu Sasaki,Tsutomu Isobe,Richard Epcar,Junko Takeuchi,Keith Silverstein,Ichirô Nagai,Mami Koyama,Tara Platt,Michael McConnohie,Paul St. Peter,Takayuki Sugô,Hideyuki Tanaka,Laura Bailey,Patrick Seitz","Tenma, a brilliant neurosurgeon with a promising future, risks his career to save the life of a critically wounded young boy. The boy, now a charismatic young man, reappears 9 years later in the midst of a string of unusual serial murders.",24,"Animation,Crime,Drama",English,Japan,TV-14,8.7,Monster,Monster,2004
"Tim McGraw,Sam Elliott,Faith Hill,Isabel May,LaMonica Garrett,Audie Rick,Marc Rissmann,James Landry Hébert,Gratiela Brancusi,Anna Fiamora,Malcolm Stephenson,Amanda Jaros,Jordan Walker Ross,Stephen Austin Long,Konstantin Melikhov,Eric Nelsen,Noah Le Gros,Josef Bette","The post-Civil war generation of the Dutton family travels to Texas, and joins a wagon train undertaking the arduous journey west to Oregon, before settling in Montana to establish what would eventually become the Yellowstone Ranch.",0,"Drama,Western",English,United States,TV-MA,8.7,1883,1883,2021
"Pedro Pascal,Chris Bartlett,Katee Sackhoff,Carl Weathers,Giancarlo Esposito,Emily Swallow,Brendan Wayne,Misty Rosas,Leilani Shiu,Lateef Crowder,Barry Lowin,Ariel Shiu,Gina Carano,Katy O'Brian,Taika Waititi,Tait Fletcher,Omid Abtahi,Temuera Morrison","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",40,"Action,Adventure,Fantasy",English,United States,TV-14,8.7,The Mandalorian,The Mandalorian,2019
"Alexandre Crepet,Junko Takeuchi,Maile Flanagan,Chie Nakamura,Kate Higgins,Dave Wittenberg,Kazuhiko Inoue,Kyle Hebert,Noriaki Sugiyama,Yuri Lowenthal,Masako Katsuki,Debi Mae West,Colleen O'Shaughnessey,Steve Blum,Stephanie Sheh,Shôtarô Morikubo,Tom Gibis,Rikiya Koyama","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",24,"Animation,Action,Adventure",Japanese,Japan,TV-PG,8.7,Naruto: Shippuden,Naruto: Shippuden,2007
"Erdal Besikçioglu,Inanç Konukçu,Ege Aydan,Berkan Sal,Ayça Eren,Fatih Artman,Seda Bakan,Eray Eserol,Berke Üzrek,Zeynep Koltuk,Canan Erguder,Hakan Hatipoglu,Elvin Besikcioglu,Nejat Isler,Güven Kiraç,Pelinsu Pir,Ayca Varlier,Emre Erçil",An inharmonious police team in Ankara Police Force and its discredited police chief fight crime.,90,"Crime,Drama,Mystery",Turkish,Turkey,TV-14,8.9,Behzat Ç: An Ankara Detective Story,Behzat Ç: An Ankara Detective Story,2010
"Satish Shah,Ratna Pathak Shah,Sumeet Raghavan,Rupali Ganguly,Rajesh Kumar,Arvind Vaidya,Deven Bhojani,Ghanshyam Nayak,Shilpa Mehta,Rita Bhaduri,Amit Soni,Sheetal Thakkar,Vaibhavi Upadhyaya,Aishwarya Sakhuja,Gurpal Singh,Gerald Stone,Aatish Kapadia,Bhamini Oza","The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.",30,Comedy,Hindi,India,TV-PG,8.9,Sarabhai V/S Sarabhai,Sarabhai V/S Sarabhai,2004
"Martin Compston,Vicky McClure,Adrian Dunbar,Craig Parkinson,Gregory Piper,Aiysha Hart,Maya Sondhi,Keeley Hawes,Nigel Boyle,Polly Walker,Paul Higgins,Anneika Rose,Neil Morrissey,Tomi May,Ace Bhatti,Elizabeth Rider,Owen Teale,Kelly Macdonald","Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",60,"Crime,Drama,Mystery",English,United Kingdom,TV-14,8.7,Line of Duty,Line of Duty,2012
"Jeremy Brett,David Burke,Rosalie Williams,Eric Porter,Gayle Hunnicutt,Rosalind Knight,Jeremy Kemp,Tenniel Evans,Norman Jones,David Gwillim,Barbara Wilshere,Joss Ackland,Nicholas Clay,Charles Gray,Rosalie Crutchley,Roger Hammond,Betsy Brantley,Wolf Kahler","Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",0,"Crime,Drama,Mystery",English,United Kingdom,TV-PG,8.7,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,1984
"Jeremy Clarkson,James May,Richard Hammond,Abbie Eaton,Mike Skinner,Simon Pegg,David Hasselhoff,Kiefer Sutherland,Paris Hilton,Nigel Mansell,Jimmy Carr,John Surtees,Jérôme d'Ambrosio,Johan Ackermann,Tim Burton,Roger Daltrey,Michael Ball,Casey Anderson","Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",60,"Comedy,Sport,Talk-Show",English,United Kingdom,TV-14,8.7,The Grand Tour,The Grand Tour,2016
"Naveen Kasturia,Abhilash Thapliyal,Shivankit Singh Parihar,Sunny Hinduja,Namita Dubey,Tengam Celine,Kuljeet Singh,Shiva Hariharan,Harish Chhabra,Abhishek Sonpaliya,Ramesh Srivastava,Mahender Bisht,Mallika Prasad,Lokesh Kumar Aggarwal,Vijay Kumar Dogra,Kapil Pal,Gaurav Panday,Sanjay Su",It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,0,Drama,Hindi,India,,9.2,Aspirants,Aspirants,2021
"Kyle Chandler,Connie Britton,Zach Gilford,Aimee Teegarden,Brad Leland,Taylor Kitsch,Jesse Plemons,Derek Phillips,Blue Deckert,Minka Kelly,Adrianne Palicki,Timothy F. Crowley,Louanne Stephens,Stacey Oristano,Scott Porter,Gaius Charles,David Cowgill,Gary Teague","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",44,"Drama,Sport",English,United States,TV-14,8.7,Friday Night Lights,Friday Night Lights,2006
"Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle,Tony Shalhoub,Kevin Pollak,Matilda Szydagis,Caroline Aaron,Matteo Pascale,Joel Johnstone,Nunzio Pascale,Bailey De Young,Brian Tarantina,Luke Kirby,Cynthia Darlow,Jane Lynch,Stephanie Hsu,Reid Scott","After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",0,"Comedy,Drama",English,United States,TV-MA,8.7,The Marvelous Mrs. Maisel,The Marvelous Mrs. Maisel,2017
"Jeremy Clarkson,Richard Hammond,James May,The Stig,Ben Collins,Chris Harris,Andrew Flintoff,Paddy McGuinness,Matt LeBlanc,Rory Reid,Perry McCarthy,Sabine Schmitz,Jason Dawe,Andy Wilman,Chris Evans,Josh Cohen,Tom Chilton,Eddie Jordan","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",60,"Adventure,Sport,Talk-Show",English,United Kingdom,TV-PG,8.7,Top Gear,Top Gear,2002
"George Newbern,Kevin Conroy,Phil LaMarr,Carl Lumbly,Susan Eisenberg,Clancy Brown,Michael Rosenbaum,Maria Canals-Barrera,Kin Shriner,CCH Pounder,Lex Lang,Nicholle Tom,Juliet Landau,Jennifer Hale,Michael Beach,Robert Foxworth,Chris Cox,Powers Boothe",A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,23,"Animation,Action,Adventure",English,United States,TV-Y7-FV,8.7,Justice League Unlimited,Justice League Unlimited,2004
"Harish Bhimani,Nitish Bharadwaj,Mukesh Khanna,Gajendra Chauhan,Praveen Kumar Sobti,Feroz Khan,Roopa Ganguly,Puneet Issar,Pankaj Dheer,Gufi Paintal,Girija Shankar,Surendra Pal,Renuka Israni,Nazneen,Virendra Razdan,Vinod Kapoor,Sameer Chitre,Sanjeev Chitre","When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.",45,"Action,Adventure,Drama",Hindi,India,TV-14,8.9,Mahabharat,Mahabharat,1988
"Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beetz,Grey Griffin,Walton Goggins,Gillian Jacobs,Andrew Rannells,Chris Diamantopoulos,Jason Mantzoukas,Kevin Michael Richardson,Khary Payton,Zachary Quinto,Melise,Ross Marquand,Fred Tatasciore,Nyima Funk,Bobby Kesselman",An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,0,"Animation,Action,Adventure",English,United States,TV-MA,8.7,Invincible,Invincible,2021
"David Mitchell,Robert Webb,Matt King,Olivia Colman,Neil Fitzmaurice,Isy Suttie,Paterson Joseph,Sophie Winkleman,Jim Howick,Rachel Blanchard,Elizabeth Marmur,Vera Graziadei,Camilla Beeput,Emily Bruni,Paul Clayton,Cariad Lloyd,Catherine Shepherd,Endy McKay",Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,25,Comedy,English,United Kingdom,TV-MA,8.7,Peep Show,Peep Show,2003
